class,RFoutput1,CNNoutput0,CNNoutput1
0,0.015,3.96798,-7.0546093
0,0.025,2.1210828,-3.1731079
0,0.03,2.0861852,-4.9111695
0,0.015,1.8274862,-4.669581
0,0.035,2.7441697,-4.7618337
0,0.065,2.977785,-5.252891
0,0.015,3.4392753,-5.9272285
0,0.12,1.5702732,-3.860311
0,0.075,1.7706643,-4.006057
0,0.025,1.164384,-4.353104
0,0.025,0.7483206,-2.3326347
1,0.69,-2.370236,0.48080504
0,0.115,-0.46727058,-2.1420643
0,0.095,4.0889983,-6.3131557
0,0.025,1.9847395,-4.649865
0,0.015,3.5315394,-5.268454
0,0.025,2.6451702,-5.1623144
0,0.015,3.8969922,-5.5844693
0,0.045,1.5367558,-4.057178
0,0.03,2.705379,-4.6517444
0,0.1,0.20768085,-2.010258
0,0.015,1.9639655,-4.578716
0,0,2.233403,-5.3168654
1,0.725,-3.9976535,1.4592719
0,0.035,2.8487816,-4.8318005
0,0.045,-0.38932538,-1.5169435
1,0.83,-5.57967,1.615207
0,0.015,2.281405,-3.750667
0,0.125,-0.0041006,-2.5749464
0,0.01,1.3945153,-3.5937302
0,0.06,2.0041628,-4.1628127
0,0.055,4.3281193,-6.446905
0,0.125,-0.2850906,-1.5959108
0,0.005,4.576937,-6.9973245
0,0.025,1.6380606,-4.2556777
0,0,3.661529,-5.590753
0,0.045,0.53584117,-1.8573338
0,0.005,2.4988651,-4.697156
0,0.625,-0.92637664,-1.8660215
0,0.065,1.4846764,-3.6334224
0,0.075,3.1815977,-4.737937
0,0.02,0.76282847,-3.0336018
0,0.04,3.2083857,-5.620175
0,0.05,3.2431252,-5.8998284
0,0.015,3.2647934,-6.196773
0,0.055,-0.11889053,-2.5597353
0,0.055,2.59097,-6.1097035
1,0.975,-5.1798716,2.9727678
0,0.01,2.5696406,-4.57728
0,0.005,3.0506492,-5.577992
0,0.02,1.230792,-3.2215617
0,0.005,2.6279714,-5.305489
0,0.025,4.1876225,-6.4651966
0,0.06,0.5925612,-2.5147982
0,0,3.6731076,-5.688175
0,0.02,2.2922611,-3.7005944
0,0.005,3.4002786,-5.5974727
0,0.02,2.9600263,-5.1210985
0,0.04,2.5859206,-4.3034987
0,0.03,3.334201,-4.7428384
0,0.08,1.6766571,-3.870632
0,0,3.1939015,-6.143866
0,0.05,-0.12318153,-1.7644755
0,0.01,2.6951277,-4.197759
1,0.81,-5.8015814,3.5438929
0,0.07,0.95962536,-3.346436
0,0.015,1.6501738,-4.4568963
0,0.01,0.6194364,-3.0843596
0,0.03,4.3137684,-6.0277305
0,0,2.232298,-4.578876
0,0.02,2.803387,-4.8766704
0,0.02,4.112277,-5.9631133
0,0.02,1.0838023,-3.517838
0,0.035,2.8972235,-6.0167384
0,0.01,2.4179482,-4.8913274
0,0.02,2.1873524,-4.086949
0,0.335,0.67875683,-3.909616
0,0.13,-3.4867487,-0.240552
0,0.04,-1.3469176,-2.0257561
0,0.05,2.802944,-5.4066534
0,0.045,-0.21141762,-1.7809056
0,0.005,2.514753,-5.0161176
0,0.01,2.4499545,-4.806316
0,0.065,3.2886455,-4.6699805
0,0.025,0.46570882,-2.821721
0,0.095,0.51311463,-1.7538074
0,0.055,3.0499928,-6.2164264
0,0.01,2.3378506,-4.102222
0,0.005,3.3170989,-5.067599
0,0,4.385797,-7.262135
0,0.05,3.4543834,-5.416318
1,0.405,-4.8702226,3.1295688
0,0.01,2.9975824,-5.035034
0,0.005,2.2741601,-4.6748524
0,0.035,1.717539,-4.3296413
0,0.005,1.9534903,-4.1228733
0,0.005,3.7868679,-6.4155574
0,0.015,2.9895086,-5.342957
0,0,2.2390585,-4.3431983
0,0.04,2.4456391,-4.6182513
0,0.02,2.2633424,-4.5812254
0,0,3.9031663,-6.1317897
0,0.12,0.9207836,-2.5164258
0,0.025,1.5803509,-4.775027
0,0.05,1.4467013,-3.9869895
0,0.04,2.5435593,-4.393625
0,0.005,3.7613404,-6.1036816
0,0.02,3.3021994,-5.8288264
0,0.02,3.4106963,-5.385283
0,0.07,1.2823873,-3.6333356
0,0.03,1.9827394,-4.1363654
0,0.02,2.45026,-5.1863313
0,0.055,2.575078,-5.009416
0,0.01,4.073911,-7.583512
0,0.015,3.0503469,-4.8158727
0,0.07,0.11362036,-2.0263638
0,0.225,2.5601962,-4.5577083
0,0.015,3.5553117,-5.8554797
0,0.03,3.3197095,-4.505275
0,0.015,2.2858799,-4.465159
1,0.58,-3.7216659,0.9799891
0,0.06,0.8037498,-3.137074
0,0.015,2.5872765,-4.531095
0,0.035,3.741236,-5.942427
0,0.035,3.1150258,-4.947226
0,0.025,2.6478968,-4.6630397
0,0.005,3.7459524,-6.6727424
0,0.03,2.3661094,-4.541783
0,0.035,-0.05551665,-1.7579468
0,0.045,3.4454122,-5.8046746
0,0.005,2.4427922,-4.586118
0,0.06,2.1473188,-4.454917
0,0,3.2893133,-5.8985972
1,0.865,-3.7636788,0.37500465
0,0.01,3.9310308,-6.2182164
0,0.005,1.4071224,-4.2467694
0,0.045,3.944418,-5.4183974
0,0.005,1.117979,-2.9963534
0,0.13,1.2054733,-2.8955564
0,0.01,3.1752472,-5.721631
0,0,4.071698,-6.5904174
0,0.085,2.7533712,-4.075609
0,0.015,1.4939386,-3.992713
0,0.115,1.3343558,-3.5767112
0,0.03,1.836354,-5.501042
0,0.54,-2.7154639,0.32687813
0,0,3.194209,-6.9765043
0,0.06,2.6642148,-4.960112
0,0,3.234973,-5.6425457
0,0.025,3.697393,-5.690105
0,0.035,0.63306624,-3.9567578
0,0.03,3.1570594,-4.8777204
0,0.05,3.9851527,-5.739161
0,0.01,2.0522537,-4.395023
0,0.035,-0.19042897,-2.1258461
0,0.12,-0.01750312,-3.685422
0,0.04,2.2161345,-5.0850835
1,0.885,-3.4921913,1.0862006
0,0.22,2.1837087,-3.9359262
1,0.7,-3.3586063,0.97211
0,0.025,2.6022174,-4.7739854
0,0.025,2.715426,-4.945465
0,0.07,0.66523165,-3.0053682
0,0.035,2.7635837,-4.5132236
0,0.01,4.4715095,-6.748772
0,0.05,2.891117,-5.447516
1,0.665,-1.3314831,-0.95756274
0,0.01,2.805476,-4.54095
0,0.1,0.47735974,-2.4907775
0,0.01,2.3054678,-4.5740066
0,0.035,1.1786389,-3.5978608
0,0.04,2.2714958,-4.8702393
0,0.025,2.506393,-5.103106
0,0.005,2.2207737,-4.8721976
1,0.915,-4.0122623,1.6439759
0,0.105,0.64353734,-2.787278
0,0.015,4.461584,-6.7883034
0,0.02,0.5919021,-2.7834368
0,0.005,2.4795003,-5.3294277
1,0.59,0.23660836,-2.4689822
0,0.045,3.2807183,-5.400431
0,0.035,2.5208938,-3.9280186
0,0.045,1.9318658,-3.8223343
0,0.075,0.79215384,-2.9843466
1,0.915,-4.170308,1.6560699
0,0.02,1.7527707,-4.19326
0,0.045,2.7453775,-4.906365
0,0.025,3.831038,-5.513534
0,0.03,2.1850605,-4.775167
0,0.115,0.87758404,-3.7766252
1,0.84,-5.347479,0.9884884
0,0.07,1.966351,-4.4637847
0,0.08,1.045882,-3.6024451
0,0,3.7335992,-6.0816197
0,0.085,0.9440698,-2.8149316
0,0.005,3.6176367,-6.1621237
0,0.02,1.2016903,-3.9259057
0,0.465,-0.3974389,-2.3861175
0,0.01,3.2098856,-6.4881763
0,0.04,0.6971476,-2.229751
0,0.025,2.4657826,-5.2251964
0,0.05,2.0230665,-4.9005675
0,0.005,3.8337338,-6.2357216
0,0.01,2.6077604,-4.802507
0,0.01,3.1043787,-4.948067
0,0.03,2.4835901,-5.042961
0,0.08,3.1393507,-5.19334
0,0.015,2.1901555,-4.1882167
0,0.035,1.9756987,-4.339664
0,0.125,1.9270215,-4.1088924
0,0.01,3.2061098,-5.465467
1,0.88,-4.385953,1.1409271
0,0.025,1.7356414,-4.992228
0,0.04,0.18982801,-2.683332
0,0.025,2.0381768,-4.3914948
0,0.07,2.84424,-5.291178
0,0,1.8456204,-3.9707031
1,0.485,-1.4780357,-0.51278645
0,0.06,2.1506433,-4.8029666
1,0.335,1.7679191,-2.6349192
0,0.045,2.200229,-4.2270617
0,0.01,1.6459109,-3.2452018
0,0.08,1.1623027,-3.6418066
0,0.065,1.7163877,-3.6435437
1,0.93,-4.8572283,1.4960209
0,0.055,3.1366773,-4.7756934
0,0.045,1.7549572,-3.6976488
0,0,2.4867055,-4.904056
0,0.01,1.7430766,-4.510537
0,0.05,0.61981106,-2.765792
0,0,3.8633618,-5.7229624
0,0.03,3.8665512,-6.081572
0,0.085,-0.17786732,-2.0710719
0,0.005,3.244368,-5.2034516
0,0.04,2.8321166,-4.6206894
0,0.02,2.8513312,-5.2409687
0,0,2.822565,-5.8147287
1,0.655,-2.2928913,-0.3047129
0,0.04,1.2766443,-3.6815214
0,0.015,3.188746,-5.7623153
0,0.005,2.4161365,-4.059467
0,0.065,2.7705529,-4.947166
0,0.015,1.7966543,-4.0987716
0,0.045,0.04322546,-0.56199175
0,0.01,2.8258896,-4.4613757
0,0.005,2.9201365,-4.7397823
0,0.05,3.6364913,-5.9608088
0,0.01,2.966061,-5.274759
0,0.025,2.9480786,-4.7772264
1,0.46,-4.2605743,0.6866568
0,0.035,2.6746836,-4.7307205
0,0.14,-1.376299,-1.0859753
0,0.03,2.137582,-4.008509
0,0.07,0.6564314,-2.4715364
0,0.01,1.6120871,-3.648714
0,0.02,0.3940259,-3.3205814
0,0.01,2.8639245,-4.682746
0,0.02,2.596348,-4.3707085
0,0.045,1.5359222,-3.5656803
0,0.15,0.3027288,-2.776062
0,0.01,1.1008284,-3.0999556
0,0.005,3.137682,-5.951976
0,0.005,2.6607354,-5.4129567
0,0.02,2.6843767,-5.1519547
0,0.07,1.2968241,-2.6291273
0,0.06,3.5831065,-5.2715087
0,0.1,2.1125712,-3.9000535
0,0.05,3.6180882,-6.001516
0,0.015,3.9291172,-6.7463264
1,0.805,-3.159546,1.6584996
0,0.035,2.710307,-4.911734
0,0.005,3.043902,-4.827296
0,0.025,2.8758798,-4.3669558
0,0.11,0.42732546,-2.8928652
0,0.03,2.7012825,-4.5351777
0,0.54,-6.603614,2.7808154
0,0.055,1.1446087,-4.320545
1,0.62,-3.1156268,-0.02348514
0,0.025,2.9863,-5.2977
0,0.055,3.8158345,-6.7072854
0,0.03,3.355628,-5.998626
0,0.14,1.1586033,-3.0648599
0,0.03,0.48447034,-2.7242587
0,0.05,1.8670896,-4.2317634
0,0.01,3.10397,-5.2095885
0,0.105,0.75305974,-2.585445
0,0.03,2.6987662,-5.087979
0,0.03,3.4897828,-4.816007
0,0.01,3.0079978,-4.5335693
0,0.135,-1.0328705,-0.8427275
0,0.06,1.9804318,-4.980062
0,0.04,1.5800009,-4.551859
0,0.015,2.0323386,-4.178494
0,0.02,2.8263211,-5.695189
1,0.82,-5.5329037,1.8024825
0,0.055,-0.6421224,-2.4682238
0,0.005,4.303386,-6.7273965
0,0.02,1.991374,-4.356334
0,0.015,1.3949784,-3.5805073
0,0.01,2.6832337,-5.341234
0,0.055,1.3371042,-3.0186164
0,0.025,0.6750614,-2.3018064
0,0.005,2.2849422,-3.50382
0,0.05,1.272369,-3.4349391
0,0.01,1.6089511,-3.8850508
1,0.185,0.6551438,-3.9658036
0,0.13,1.4670464,-5.1968384
1,0.765,-5.248537,1.2503264
1,0.96,-4.143608,2.143105
0,0.055,1.9499766,-4.397434
0,0.775,-3.7389362,0.70501834
0,0.02,2.830251,-5.2215343
0,0.01,3.1735544,-5.5323586
0,0.015,2.518585,-5.243989
0,0.075,3.2450798,-5.50285
0,0.11,1.119307,-3.8337662
1,0.92,-3.3813667,0.84285325
0,0.01,3.257889,-6.0514283
0,0.055,3.0910947,-5.1904793
0,0.035,2.7793918,-5.00545
0,0.045,2.90684,-4.410832
0,0.015,3.5253527,-5.6835804
0,0.03,1.9179366,-3.705992
0,0.105,0.2671827,-1.5833868
0,0.04,2.5370204,-4.8353057
1,0.695,-4.9331613,2.3680406
0,0.04,2.9313807,-4.9296756
0,0.015,1.8636165,-4.0491433
1,0.505,-2.4164014,-0.05177303
0,0.015,1.5296127,-4.2045627
0,0.03,2.301343,-4.664581
0,0,3.5068476,-5.3165016
0,0.88,-2.8958583,0.650446
0,0.015,2.9203014,-5.391268
0,0.12,1.6787165,-3.8740368
0,0.015,3.0435193,-5.7745194
0,0.425,-1.2340147,-0.99246085
0,0.04,0.5556094,-2.9584785
1,0.715,-2.2603612,-0.7483061
0,0.01,2.859354,-5.079475
0,0.03,2.9953818,-5.1505785
0,0.025,4.092635,-6.5495095
0,0.125,-0.15316784,-1.8791829
0,0.01,4.6416736,-7.049733
0,0.015,3.9980679,-6.142738
0,0.035,1.2825751,-2.5761182
0,0.095,0.5349479,-3.275167
0,0.035,3.2586994,-5.031339
1,0.47,-2.551371,0.14417143
1,0.645,-6.040058,3.7127216
0,0.06,1.3922627,-3.5121255
0,0.035,2.3771725,-4.0628705
1,0.15,-2.459679,-0.6450362
0,0.03,1.8169233,-4.1456904
0,0.025,1.0789993,-2.839584
0,0.04,2.9869409,-4.615785
0,0.04,1.0734886,-3.878592
0,0.06,2.0285127,-4.563395
0,0.03,1.9065423,-4.0330515
0,0.01,2.6709151,-4.7571845
1,0.525,-4.6935387,2.0238452
0,0.035,3.691327,-6.2170253
0,0.045,2.2528973,-4.0700183
0,0.025,0.06963911,-2.4818573
0,0.015,1.8220621,-4.150267
0,0.03,2.4221952,-4.6261115
0,0.04,3.264768,-5.8244057
0,0.12,0.69869965,-2.104764
0,0.03,2.4968402,-3.9558778
0,0.055,2.5767164,-4.6963596
0,0.08,1.5728958,-3.6478982
0,0.015,3.0246634,-5.478623
0,0.045,1.7542839,-4.0720344
1,0.395,-1.0619856,-1.6071618
0,0.035,0.6475801,-3.3133883
0,0.025,2.1858177,-3.7427783
1,0.43,-2.3600512,-0.8664398
0,0.05,1.5012007,-3.699979
0,0.01,3.3132606,-5.7364874
0,0.135,0.15906033,-2.082457
0,0.005,3.441593,-5.9233327
0,0.07,2.7106557,-4.2331734
0,0.005,2.8396134,-5.2189713
0,0.015,3.8624058,-5.9089885
0,0.03,1.6588929,-3.6313004
0,0.015,2.0537188,-5.5857825
0,0,2.3993227,-4.6046453
0,0,3.3286695,-5.9504285
0,0.075,1.7611543,-3.608972
0,0.07,1.2410977,-3.7555926
0,0.05,2.541646,-4.973315
0,0.01,1.9868386,-4.4444733
0,0.015,2.0819287,-4.727939
0,0.02,1.2522748,-3.4306679
0,0.07,3.024576,-5.3498216
0,0.015,3.0404754,-5.0732803
0,0.02,0.8281514,-2.0817192
0,0.055,1.6320782,-3.6959245
1,0.79,-6.0895147,2.9099874
1,0.595,-5.633008,2.527144
1,0.045,-0.0573319,-1.9050782
0,0.015,3.1420083,-4.7078815
1,0.49,-4.318357,1.4035348
0,0.005,4.2057157,-6.3520827
0,0.125,1.2680604,-3.7321744
0,0.02,0.37731406,-2.835098
0,0.055,1.8610177,-4.025182
0,0.06,1.1953053,-2.8573856
0,0.01,1.6413298,-3.3555655
0,0.61,-3.2933364,0.11201508
0,0.015,1.0597088,-3.6441808
0,0.01,2.7059493,-5.187964
0,0.04,-0.7601766,-1.4501629
0,0.045,3.073653,-5.414802
0,0.04,4.31781,-5.2275796
0,0.02,2.6318436,-5.4456153
0,0.005,2.606408,-5.0189757
0,0.01,3.4576488,-5.8719525
1,0.965,-6.907958,3.018828
0,0.025,2.2170165,-4.3732553
0,0.015,2.020014,-3.9783916
0,0.02,2.3032467,-4.890673
0,0.01,2.5476882,-5.080319
0,0.02,3.37075,-5.8983088
0,0.015,2.198264,-3.6976256
0,0.015,0.71688396,-2.7781115
0,0.06,3.2243137,-4.322228
0,0.03,3.5625832,-4.1520762
0,0.02,-0.34998974,-1.6652956
0,0.05,1.6026832,-4.0311584
0,0.015,2.0213704,-4.4292784
0,0.005,2.3080664,-4.734384
0,0.07,2.156436,-4.6777415
0,0.66,-5.2493267,2.4822068
1,0.55,-2.890819,0.9613393
0,0.04,1.6902689,-3.9686928
0,0.015,1.4934347,-3.7660453
0,0.01,2.3207996,-4.8394246
0,0.075,1.4706681,-3.8537853
0,0.26,-0.8611417,-1.289514
0,0.015,3.1883354,-6.464533
0,0.41,0.80446553,-2.764607
0,0.035,3.1281703,-6.8755145
0,0.02,2.6559312,-4.4807653
1,0.14,0.9774093,-2.2997696
0,0.06,0.6896926,-3.5712414
0,0.025,1.3667643,-3.7740057
0,0.025,1.0221175,-4.0879884
0,0.02,2.9836664,-6.118633
0,0.06,2.107053,-3.8203988
0,0.05,1.3357491,-3.9287117
0,0.01,2.9736776,-5.3965306
0,0.01,1.484915,-3.6724098
0,0.02,2.8662891,-5.9789305
0,0.035,2.9693058,-5.134153
0,0.095,-0.6076419,-2.7936912
0,0.03,1.120511,-3.4946961
0,0.015,0.89765877,-2.9840999
0,0.015,3.2995071,-5.333964
0,0.04,1.8181,-3.2956858
0,0.02,3.0259857,-5.3862214
0,0.085,2.255831,-3.7458365
0,0.085,2.3816948,-5.370498
0,0.03,2.166108,-6.1302724
0,0.08,0.15979658,-2.9590094
0,0.06,1.3327664,-2.9717968
0,0.02,3.0411055,-5.1451173
0,0.225,0.128575,-2.5897372
0,0.175,0.01742127,-1.6568947
0,0,1.5647931,-3.5650249
0,0.075,1.7088774,-3.8182344
0,0.01,1.7996218,-3.9923272
0,0.04,2.6078556,-4.5666513
0,0.015,1.1757373,-3.2941422
1,0.895,-5.2063847,2.9124823
0,0.03,3.1966298,-6.0831995
0,0.05,2.3445616,-4.990663
0,0.015,2.3016915,-4.4768114
0,0.01,2.5572145,-4.2114186
0,0.045,1.1248837,-4.16441
1,0.825,-3.5147436,1.3282343
0,0.005,3.7370243,-5.9068713
0,0.04,2.7873278,-5.725843
0,0.01,1.084208,-3.8006444
1,0.72,-3.0436049,0.3398661
0,0.02,4.156513,-6.8499136
0,0.015,2.2737474,-5.0822062
0,0.065,1.1600171,-3.9162714
0,0.06,4.2115116,-6.06961
0,0,3.6795542,-5.149586
0,0,2.9414544,-5.305281
0,0,2.7509527,-6.231868
0,0.015,0.2238299,-2.4844356
0,0.01,0.86290616,-2.3699803
0,0.1,-0.9493874,-2.3267334
0,0.02,2.6181579,-4.1267767
0,0.02,2.4934282,-4.4808755
0,0.015,3.6907291,-6.7039742
0,0.005,3.1363358,-4.79141
1,0.755,-3.6075273,0.19589283
0,0.015,2.6144056,-4.165785
0,0.06,1.5102422,-3.636072
0,0,3.4756398,-5.7171597
0,0.025,1.8653399,-3.6517482
0,0.12,1.6502438,-3.063095
0,0.095,-0.177748,-1.953895
0,0.025,3.4300938,-6.1416245
1,0.635,-3.7234645,0.9647959
1,0.395,-4.688142,1.9341935
0,0.02,2.2600563,-4.6800885
0,0.015,3.562615,-5.1798854
0,0.055,1.9633628,-4.4278383
0,0.005,0.42530474,-3.328682
0,0.005,2.1791074,-4.393125
0,0.015,2.8364768,-5.7164345
0,0.045,2.447133,-5.1336913
0,0.025,3.3893743,-5.4129357
0,0.035,2.7179966,-4.1526976
0,0,4.1550026,-6.947482
0,0.18,-1.6321883,-1.9662348
0,0.01,1.3247137,-3.407837
1,0.535,-1.3812732,-0.87832266
0,0.025,2.1103125,-4.174023
0,0.03,2.0409675,-4.830408
0,0.05,-0.57972413,-1.2288826
0,0.055,1.3168066,-3.245955
0,0.03,1.400011,-2.8085723
0,0.1,2.8390088,-4.837157
1,0.2,-0.71438396,-1.4903053
0,0.085,1.547388,-4.975717
0,0.025,2.4348533,-4.781777
0,0.055,1.2630018,-3.5967686
0,0.02,2.7617579,-5.334771
0,0.035,3.1838489,-5.080478
0,0.04,1.5605319,-3.5940475
0,0.035,1.3899798,-4.2747693
1,0.755,-3.9229276,-0.30502838
0,0.035,3.6752176,-6.207407
0,0.19,0.12409023,-2.0089848
0,0.16,-0.2289575,-2.5472374
0,0.055,0.7793075,-2.843162
0,0.095,0.34956357,-2.366592
0,0.025,2.1002107,-4.220362
0,0.005,4.2702065,-6.690631
0,0.07,2.4656565,-5.0994983
0,0.035,4.0983534,-6.7742505
0,0.035,1.7293384,-4.2384753
0,0.025,0.641977,-3.273988
0,0.12,2.5558543,-5.117306
0,0,2.0587938,-3.9170725
0,0.04,1.331539,-3.6080713
0,0.01,2.4373038,-5.2762895
0,0.02,2.4597363,-5.619124
0,0.025,2.7644432,-4.624227
0,0.03,2.7102957,-5.275996
0,0.05,0.34638876,-1.9461235
0,0.045,2.7404034,-4.9311433
0,0.005,1.9001007,-3.116829
1,0.555,-2.7304306,-0.47388548
0,0.025,2.0600352,-4.1415668
1,0.47,-4.146925,1.6093764
1,0.415,-1.1128244,-1.0339161
0,0.02,3.085465,-5.0800176
0,0.055,1.8138249,-4.100572
0,0.09,0.993087,-2.8846586
0,0.13,1.5224953,-3.4740846
0,0.015,3.3849454,-5.9598136
0,0.045,0.7776472,-2.6417036
0,0.07,1.2717682,-3.1971953
0,0.12,1.500381,-3.8724341
0,0.04,2.7906866,-4.560519
0,0.005,2.4081929,-4.7868395
0,0.86,-5.0344625,1.340978
0,0.015,3.555728,-5.986422
0,0.035,2.2822213,-4.2067924
0,0.035,0.04454663,-1.5056957
0,0.265,3.2974703,-5.328674
1,0.745,-2.8533216,0.10161822
0,0.04,3.8330135,-5.872062
0,0.045,2.0900586,-5.1112123
0,0.01,3.5684695,-6.027813
0,0.015,2.9931808,-5.431228
0,0.02,2.8779688,-5.2589564
0,0.05,1.5941987,-3.1991823
0,0.02,1.344905,-4.199121
0,0.015,3.0203385,-5.4100227
0,0.06,1.71418,-3.6552339
0,0.055,3.2783442,-5.2677875
0,0.06,3.201675,-4.966821
0,0.06,2.563911,-5.065002
0,0.01,2.7960258,-5.907823
0,0.1,0.90604687,-2.986154
0,0.78,-5.892478,2.1361306
1,1,-6.1219573,3.5663614
0,0.04,2.9381452,-5.6079087
0,0.05,3.6412423,-5.395968
1,0.725,-2.7485843,-0.6932154
0,0.04,1.8296099,-3.592792
0,0.01,2.032736,-4.1842003
1,0.47,-3.1625185,0.15473853
1,0.765,-1.799259,-0.10768758
0,0.005,3.367393,-5.764687
0,0.005,2.4050932,-5.5530524
0,0.025,0.57983285,-2.3021266
0,0.055,2.889012,-4.5867863
0,0.01,2.5163057,-4.9289517
1,0.18,0.40636602,-2.3107195
0,0.01,3.393938,-5.1324964
0,0.03,3.8899083,-4.981048
0,0.16,0.46090037,-2.427123
0,0.125,2.8659883,-5.394856
0,0.03,2.572475,-4.927111
0,0.005,2.1217797,-4.883552
0,0.04,2.3555245,-3.9793913
0,0.055,1.6920311,-4.3448615
0,0.005,3.878129,-6.5355062
0,0.025,3.5050778,-5.6592565
0,0.045,1.1684018,-2.7027607
0,0.005,1.7248672,-3.5110912
0,0.005,2.7526762,-5.1156983
0,0.01,3.2908316,-5.68975
