class,sigmoid_output,softmax_output
1,[0.0565894  0.94947255],[0.00318196 0.99681807]
1,[0.05396145 0.96910906],[0.00181486 0.9981851 ]
1,[0.02409669 0.9741596 ],[6.545388e-04 9.993455e-01]
1,[0.01441277 0.9762779 ],[3.5520436e-04 9.9964476e-01]
1,[0.00659154 0.99637526],[2.413824e-05 9.999759e-01]
1,[0.04533672 0.97642195],[0.00114544 0.9988545 ]
1,[0.0251202  0.96804374],[8.4989087e-04 9.9915016e-01]
1,[0.02080409 0.9733396 ],[5.816050e-04 9.994184e-01]
1,[0.03333786 0.97011   ],[0.00106147 0.9989385 ]
1,[0.06436116 0.89228475],[0.00823565 0.99176437]
1,[0.04218668 0.9563416 ],[0.00200667 0.99799335]
1,[0.04283145 0.95540327],[0.00208441 0.99791557]
1,[0.0472622 0.9406757],[0.00311872 0.99688125]
1,[0.1050989 0.931903 ],[0.00850881 0.99149114]
1,[0.04717259 0.9559639 ],[0.00227538 0.9977246 ]
1,[0.0488024  0.94739044],[0.002841 0.997159]
1,[0.0626158 0.9683991],[0.00217503 0.997825  ]
1,[0.01603039 0.98438257],[2.5840278e-04 9.9974161e-01]
1,[0.10163578 0.89898694],[0.01255257 0.98744744]
1,[0.03381675 0.96085465],[0.00142389 0.99857616]
1,[0.09090722 0.90521055],[0.01036279 0.9896372 ]
1,[0.00255572 0.99788046],[5.442314e-06 9.999945e-01]
1,[0.01999924 0.9756935 ],[5.0813035e-04 9.9949181e-01]
1,[0.00578625 0.9964754 ],[2.0584752e-05 9.9997938e-01]
1,[0.02092457 0.97305095],[5.915508e-04 9.994085e-01]
1,[0.02546076 0.9689793 ],[8.3569210e-04 9.9916434e-01]
1,[0.0324742 0.9843704],[5.3263683e-04 9.9946743e-01]
1,[0.03602634 0.9679165 ],[0.00123726 0.9987627 ]
1,[0.0151293  0.98421115],[2.4637306e-04 9.9975365e-01]
1,[0.01573621 0.9844551 ],[2.5238996e-04 9.9974757e-01]
1,[0.04849115 0.962319  ],[0.00199153 0.99800843]
1,[0.0206951 0.9759296],[5.209407e-04 9.994791e-01]
1,[0.03560754 0.9805699 ],[7.3108240e-04 9.9926895e-01]
1,[0.04981021 0.9635244 ],[0.00198055 0.99801946]
1,[0.032262   0.96731013],[0.00112536 0.9988746 ]
1,[0.07120341 0.9424771 ],[0.00465717 0.99534285]
1,[0.02808077 0.9624397 ],[0.00112628 0.99887365]
1,[0.08818335 0.8411886 ],[0.01793119 0.98206884]
1,[0.07645272 0.961736  ],[0.00328276 0.99671715]
1,[0.00455376 0.9856548 ],[6.6574161e-05 9.9993336e-01]
1,[0.00538746 0.9859207 ],[7.7345438e-05 9.9992263e-01]
1,[0.0140871 0.9812383],[2.7312496e-04 9.9972683e-01]
1,[0.00832123 0.9906722 ],[7.9000587e-05 9.9992096e-01]
1,[0.02528334 0.9895449 ],[2.7398695e-04 9.9972600e-01]
1,[0.00962905 0.9817384 ],[1.8082211e-04 9.9981922e-01]
1,[0.03811731 0.9605949 ],[0.00162296 0.9983771 ]
1,[0.01544453 0.9765121 ],[3.771709e-04 9.996228e-01]
1,[0.10029016 0.932747  ],[0.0079731  0.99202687]
1,[0.07187404 0.93205184],[0.00561381 0.9943862 ]
1,[0.02687295 0.969188  ],[8.771551e-04 9.991228e-01]
1,[0.0104449  0.99458355],[5.7479279e-05 9.9994254e-01]
1,[0.01928269 0.9849053 ],[3.0124639e-04 9.9969876e-01]
1,[0.04264738 0.94380045],[0.00264559 0.9973544 ]
1,[0.08760833 0.92599803],[0.00761512 0.9923849 ]
1,[0.01784651 0.96248376],[7.0776977e-04 9.9929225e-01]
1,[0.05333581 0.92509246],[0.00454137 0.9954586 ]
1,[0.07957263 0.9655159 ],[0.00307818 0.99692184]
1,[0.06521501 0.92369825],[0.00572987 0.9942701 ]
1,[0.01720204 0.9822251 ],[3.1664543e-04 9.9968338e-01]
1,[0.02439992 0.9836284 ],[4.160986e-04 9.995839e-01]
1,[0.04300041 0.9601754 ],[0.00186017 0.99813986]
1,[0.04149069 0.94785655],[0.00237563 0.99762434]
1,[0.05398464 0.9515226 ],[0.00289889 0.9971011 ]
1,[0.01991639 0.98749757],[2.5721334e-04 9.9974281e-01]
1,[0.08964723 0.8794076 ],[0.01332391 0.98667616]
1,[0.20736411 0.9479971 ],[0.01414791 0.9858521 ]
1,[0.07091609 0.9547474 ],[0.00360477 0.9963953 ]
1,[0.12213802 0.94627357],[0.00783753 0.9921625 ]
1,[0.04426231 0.9845026 ],[7.284870e-04 9.992716e-01]
1,[0.07357828 0.92973083],[0.00596691 0.99403316]
1,[0.03683572 0.9627219 ],[0.0014787  0.99852127]
1,[0.07286517 0.9257528 ],[0.00626373 0.99373627]
1,[0.04167527 0.9827204 ],[7.6408044e-04 9.9923599e-01]
1,[0.02579746 0.9735265 ],[7.195799e-04 9.992804e-01]
1,[0.01476631 0.95502204],[7.0536387e-04 9.9929464e-01]
1,[0.02960717 0.9628153 ],[0.00117695 0.998823  ]
1,[0.02242114 0.9788786 ],[4.946339e-04 9.995054e-01]
1,[0.04317324 0.9714963 ],[0.00132211 0.9986779 ]
1,[0.04896969 0.9556324 ],[0.0023849 0.9976151]
1,[0.06229598 0.9260146 ],[0.00527987 0.9947201 ]
1,[0.0105771 0.9854696],[1.5759758e-04 9.9984241e-01]
1,[0.08919699 0.9246186 ],[0.00792088 0.9920791 ]
1,[0.20874558 0.8956002 ],[0.02983542 0.97016466]
1,[0.07049849 0.9214409 ],[0.00642479 0.99357516]
1,[0.12943025 0.88215846],[0.01947347 0.9805265 ]
1,[0.02194674 0.9861458 ],[3.1514626e-04 9.9968493e-01]
1,[0.14951937 0.8402578 ],[0.03234166 0.96765834]
1,[0.06339119 0.9502584 ],[0.00353032 0.99646974]
1,[0.06339395 0.8718358 ],[0.00985197 0.990148  ]
1,[0.01406676 0.9750865 ],[3.6440068e-04 9.9963558e-01]
1,[0.01838009 0.9550327 ],[8.808458e-04 9.991191e-01]
1,[0.03545769 0.96340245],[0.00139453 0.99860543]
1,[0.0368343 0.9522319],[0.00191476 0.99808526]
1,[0.07810444 0.8747391 ],[0.01198654 0.9880135 ]
1,[0.02157835 0.96339417],[8.372885e-04 9.991627e-01]
1,[0.02575291 0.9708981 ],[7.9170126e-04 9.9920827e-01]
1,[0.06354234 0.91005474],[0.00666167 0.99333835]
1,[0.1058783 0.8760606],[0.0164767 0.9835233]
1,[0.00706246 0.9864227 ],[9.789018e-05 9.999021e-01]
1,[0.02583753 0.9839612 ],[4.3214095e-04 9.9956781e-01]
1,[0.02658204 0.9642762 ],[0.00101066 0.9989893 ]
1,[0.06987138 0.96431124],[0.00277246 0.9972275 ]
1,[0.00985452 0.9891817 ],[1.0883639e-04 9.9989116e-01]
1,[0.00891045 0.98382884],[1.4775502e-04 9.9985218e-01]
1,[0.02261471 0.97743887],[5.3378294e-04 9.9946624e-01]
1,[0.07720765 0.9113337 ],[0.00807451 0.99192554]
1,[0.02244087 0.9664492 ],[7.9629652e-04 9.9920374e-01]
1,[0.07105979 0.8949041 ],[0.00890351 0.9910965 ]
1,[0.05036197 0.94789594],[0.00290664 0.9970933 ]
1,[7.0848007e-04 9.9921095e-01],[5.598333e-07 9.999994e-01]
1,[0.0673684 0.9705606],[0.00218626 0.9978137 ]
1,[0.02235468 0.9864547 ],[3.1387727e-04 9.9968612e-01]
1,[0.11017387 0.94724685],[0.00684816 0.9931518 ]
1,[0.01021106 0.97271687],[2.8927420e-04 9.9971074e-01]
1,[0.02839858 0.922212  ],[0.00245935 0.9975407 ]
1,[0.00339275 0.9965405 ],[1.1817934e-05 9.9998820e-01]
1,[0.05902928 0.8810135 ],[0.00840122 0.9915987 ]
1,[0.00861442 0.98252285],[1.5454099e-04 9.9984539e-01]
1,[0.07304624 0.9432697 ],[0.00471699 0.99528295]
1,[0.09514822 0.89099526],[0.01270112 0.9872989 ]
1,[0.06848142 0.895354  ],[0.0085191  0.99148095]
1,[0.13575344 0.8645647 ],[0.02401543 0.9759846 ]
1,[0.0291957 0.9849353],[4.597696e-04 9.995402e-01]
1,[0.0436604 0.9737433],[0.00122952 0.9987704 ]
1,[0.052237   0.92745686],[0.00429252 0.9957074 ]
1,[0.03006053 0.97371906],[8.357876e-04 9.991642e-01]
1,[0.05776364 0.95092136],[0.00315406 0.9968459 ]
1,[0.02807003 0.9800147 ],[5.8861350e-04 9.9941134e-01]
1,[0.06137284 0.9642134 ],[0.0024209  0.99757916]
1,[0.13747674 0.92400235],[0.01293984 0.9870602 ]
1,[0.08920281 0.94490653],[0.00567799 0.99432206]
1,[0.09793039 0.9556831 ],[0.00500901 0.994991  ]
1,[0.07499376 0.94213647],[0.00495466 0.9950453 ]
1,[0.07538925 0.9425998 ],[0.00494067 0.9950594 ]
1,[0.06827005 0.9120179 ],[0.00701895 0.9929811 ]
1,[0.05396717 0.9452286 ],[0.00329464 0.99670535]
1,[0.13458422 0.95229095],[0.0077309 0.9922691]
1,[0.07125284 0.9477032 ],[0.00421574 0.9957842 ]
1,[0.02567051 0.98091197],[5.124332e-04 9.994875e-01]
1,[0.0360883 0.9590296],[0.00159688 0.99840313]
1,[0.15209524 0.83210254],[0.03492969 0.9650703 ]
1,[0.08709656 0.9622137 ],[0.00373263 0.9962674 ]
1,[0.17959243 0.85366565],[0.03616749 0.9638325 ]
1,[0.09361582 0.92724997],[0.00803837 0.99196166]
1,[0.10108988 0.8930668 ],[0.01328652 0.9867135 ]
1,[0.15449305 0.8527081 ],[0.0305967  0.96940327]
1,[0.0491933  0.93688136],[0.00347356 0.9965264 ]
1,[0.03172751 0.97745   ],[7.553732e-04 9.992447e-01]
1,[0.08444764 0.95681787],[0.00414548 0.9958545 ]
1,[0.02561234 0.96293664],[0.00101071 0.9989893 ]
1,[0.06810006 0.90085775],[0.00797815 0.9920218 ]
1,[0.08071678 0.86571217],[0.013437   0.98656297]
1,[0.01850436 0.9774571 ],[4.3462057e-04 9.9956542e-01]
1,[0.02357692 0.9795645 ],[5.0348043e-04 9.9949646e-01]
1,[0.03550064 0.9788351 ],[7.952334e-04 9.992048e-01]
1,[0.09249517 0.88105774],[0.01357272 0.98642725]
1,[0.06821681 0.91179204],[0.00703272 0.99296725]
1,[0.05779492 0.9315243 ],[0.00448883 0.9955112 ]
1,[0.0418706 0.9710822],[0.00129966 0.99870026]
1,[0.13786173 0.89565414],[0.01828881 0.98171115]
1,[0.10982133 0.9366118 ],[0.00828032 0.9917197 ]
1,[0.06081767 0.9759371 ],[0.00159409 0.9984059 ]
1,[0.02660718 0.9801063 ],[5.5451534e-04 9.9944550e-01]
1,[0.0533624 0.9451479],[0.00326082 0.9967392 ]
1,[0.02116429 0.9830079 ],[3.7361303e-04 9.9962640e-01]
1,[0.03713695 0.9432009 ],[0.00231724 0.9976827 ]
1,[0.01836996 0.98245895],[3.3400746e-04 9.9966598e-01]
1,[0.10009819 0.9096562 ],[0.01092649 0.98907346]
1,[0.02408049 0.9805777 ],[4.8849086e-04 9.9951148e-01]
1,[0.15461408 0.88351935],[0.02354423 0.9764558 ]
1,[7.7406765e-04 9.9924171e-01],[5.879012e-07 9.999994e-01]
1,[0.01161763 0.98116416],[2.2559955e-04 9.9977440e-01]
1,[0.00649079 0.9914846 ],[5.6107488e-05 9.9994385e-01]
1,[0.21268559 0.7895465 ],[0.06716932 0.9328307 ]
1,[0.0152264 0.9866433],[2.0927162e-04 9.9979073e-01]
1,[0.01776517 0.98253745],[3.213458e-04 9.996786e-01]
1,[0.01345905 0.98726094],[1.76007e-04 9.99824e-01]
1,[0.03656271 0.9833571 ],[6.418796e-04 9.993581e-01]
1,[0.06553075 0.93468887],[0.00487615 0.9951238 ]
1,[0.0264982  0.97363746],[7.3646085e-04 9.9926358e-01]
1,[0.01424999 0.9824953 ],[2.5748936e-04 9.9974245e-01]
1,[0.0364753 0.9670464],[0.00128834 0.9987117 ]
1,[0.04386178 0.9651074 ],[0.00165578 0.9983442 ]
1,[0.07546964 0.93650323],[0.00550422 0.9944958 ]
1,[0.0456213 0.9599685],[0.00198942 0.9980106 ]
1,[0.07880868 0.89251256],[0.01019802 0.98980194]
1,[0.08341429 0.89964205],[0.01004991 0.98995006]
1,[0.02436689 0.9735257 ],[6.7872938e-04 9.9932134e-01]
1,[0.02936643 0.963591  ],[0.00114187 0.9988581 ]
1,[0.0696684 0.9251686],[0.00602059 0.99397945]
1,[0.05183899 0.9349064 ],[0.00379222 0.9962077 ]
1,[0.08924115 0.9237965 ],[0.00801797 0.99198204]
1,[0.00431636 0.9970373 ],[1.288172e-05 9.999871e-01]
1,[0.0854779  0.94189435],[0.00573296 0.99426705]
1,[0.0336817 0.9669311],[0.00119064 0.99880934]
1,[0.05494924 0.95825344],[0.00252667 0.9974733 ]
1,[0.05187465 0.9268696 ],[0.00429831 0.9957016 ]
1,[0.07094081 0.9472405 ],[0.00423497 0.995765  ]
1,[0.08383823 0.881015  ],[0.012208   0.98779196]
1,[0.02030534 0.9837653 ],[3.4191835e-04 9.9965811e-01]
1,[0.01129907 0.9676431 ],[3.8200026e-04 9.9961793e-01]
1,[0.03666587 0.9629544 ],[0.00146211 0.9985379 ]
1,[0.02799821 0.94453317],[0.00168867 0.9983113 ]
1,[0.03339327 0.96037954],[0.0014232  0.99857676]
1,[0.0791674 0.9477036],[0.00472182 0.99527824]
1,[0.03770836 0.953544  ],[0.00190548 0.9980945 ]
1,[0.02413306 0.98219186],[4.4817780e-04 9.9955183e-01]
1,[0.00587368 0.9951633 ],[2.8714781e-05 9.9997127e-01]
1,[0.02208856 0.9794549 ],[4.735721e-04 9.995265e-01]
1,[0.0595606  0.97906643],[0.0013523  0.99864775]
1,[0.04188062 0.96895605],[0.00139849 0.9986015 ]
1,[0.05857049 0.9311749 ],[0.00457736 0.99542266]
1,[0.02526385 0.98532504],[3.858721e-04 9.996141e-01]
1,[0.03514403 0.9676697 ],[0.00121547 0.9987846 ]
1,[0.08443233 0.88997567],[0.01127212 0.9887279 ]
1,[0.05912039 0.9231899 ],[0.00520075 0.99479926]
1,[0.05567503 0.94758886],[0.00325034 0.99674964]
1,[0.08464622 0.8984315 ],[0.01034609 0.9896539 ]
1,[0.05225486 0.9627027 ],[0.00213154 0.9978684 ]
1,[0.07738554 0.88947964],[0.01031437 0.9896856 ]
1,[0.15611729 0.900381  ],[0.02005788 0.9799421 ]
1,[0.08891246 0.92219234],[0.00816662 0.9918333 ]
1,[0.05913884 0.94519794],[0.00363113 0.9963689 ]
1,[0.0839693  0.92892563],[0.00696478 0.9930352 ]
1,[0.07158481 0.85490024],[0.01291764 0.98708236]
1,[0.10200143 0.82593876],[0.02337822 0.9766218 ]
1,[0.02689536 0.9715376 ],[8.090572e-04 9.991910e-01]
1,[0.09337202 0.9238611 ],[0.00841622 0.9915837 ]
1,[0.08369277 0.9259299 ],[0.00725354 0.9927464 ]
1,[0.02750173 0.98220116],[5.1220122e-04 9.9948776e-01]
1,[0.08468625 0.934143  ],[0.00648049 0.9935195 ]
1,[0.22119966 0.92402095],[0.0228215  0.97717845]
1,[0.06750055 0.9482518 ],[0.00393476 0.9960652 ]
1,[0.10252394 0.9002279 ],[0.01250245 0.98749757]
1,[0.06247755 0.91854715],[0.00587473 0.99412525]
1,[0.0129734 0.968783 ],[4.2335494e-04 9.9957663e-01]
1,[0.00946189 0.9780105 ],[2.1472613e-04 9.9978524e-01]
1,[0.06646977 0.9431222 ],[0.00427573 0.9957243 ]
1,[0.00578972 0.996342  ],[2.1379850e-05 9.9997866e-01]
1,[0.14420184 0.87613875],[0.02326687 0.97673315]
1,[0.00854796 0.99238634],[6.6141147e-05 9.9993384e-01]
1,[0.0063287  0.99514884],[3.104668e-05 9.999690e-01]
1,[0.01999109 0.9856821 ],[2.962250e-04 9.997037e-01]
1,[0.08458319 0.95158184],[0.0046794 0.9953206]
1,[0.00298085 0.99756444],[7.299386e-06 9.999927e-01]
1,[0.06986438 0.91206443],[0.00718977 0.99281025]
1,[0.03036884 0.95932585],[0.00132617 0.9986739 ]
1,[0.04747006 0.9582545 ],[0.00216635 0.99783367]
1,[0.02038132 0.97803587],[4.6701499e-04 9.9953306e-01]
1,[0.01698818 0.97962946],[3.5923027e-04 9.9964070e-01]
1,[0.0337954 0.9533973],[0.0017068 0.9982932]
1,[0.03733145 0.9458331 ],[0.00221592 0.9977841 ]
1,[0.07026497 0.92385274],[0.00619062 0.9938094 ]
1,[0.04213173 0.94093037],[0.00275367 0.9972464 ]
1,[0.01555404 0.9867344 ],[2.123659e-04 9.997876e-01]
1,[0.05531819 0.93822354],[0.00384085 0.9961591 ]
1,[0.02539452 0.9734529 ],[7.1007456e-04 9.9928987e-01]
1,[0.05465658 0.8885499 ],[0.00719968 0.99280035]
1,[0.09246951 0.9435721 ],[0.00605645 0.9939435 ]
1,[0.02389763 0.9737067 ],[6.6067657e-04 9.9933928e-01]
1,[0.02928517 0.9704771 ],[9.1691804e-04 9.9908304e-01]
1,[0.10726994 0.92219555],[0.01003595 0.98996407]
1,[0.01089646 0.9933831 ],[7.3375013e-05 9.9992657e-01]
1,[0.05211432 0.9160472 ],[0.00501344 0.99498653]
1,[0.05050766 0.9753307 ],[0.00134365 0.9986563 ]
1,[0.05088143 0.9710585 ],[0.00159522 0.9984048 ]
1,[0.0387936  0.97087497],[0.00120927 0.9987908 ]
1,[0.03111882 0.97163737],[9.366718e-04 9.990633e-01]
1,[0.02100664 0.9698023 ],[6.6769327e-04 9.9933225e-01]
1,[0.04923651 0.9082224 ],[0.00520586 0.9947942 ]
1,[0.08743586 0.94509965],[0.00553495 0.99446505]
1,[0.02046075 0.9754057 ],[5.2640610e-04 9.9947363e-01]
1,[0.00584308 0.9892492 ],[6.386957e-05 9.999361e-01]
1,[0.03117856 0.9797331 ],[6.6527707e-04 9.9933475e-01]
1,[0.02759641 0.95932376],[0.00120188 0.99879813]
1,[0.06208964 0.9547643 ],[0.00312668 0.9968733 ]
1,[0.09765145 0.91695625],[0.00970571 0.99029434]
1,[0.04100104 0.95214784],[0.00214408 0.99785584]
1,[0.08350218 0.9488528 ],[0.00488722 0.99511284]
1,[0.04814655 0.9376238 ],[0.00335371 0.9966462 ]
1,[0.12099195 0.91829896],[0.01209819 0.9879018 ]
1,[0.01240722 0.98016435],[2.5417554e-04 9.9974579e-01]
1,[0.05788917 0.95145214],[0.0031255  0.99687445]
1,[0.01879975 0.9809427 ],[3.7209192e-04 9.9962795e-01]
1,[0.01761829 0.9672486 ],[6.0689164e-04 9.9939311e-01]
1,[0.05017497 0.94192636],[0.00324633 0.99675363]
1,[0.06470277 0.96695054],[0.00235889 0.9976411 ]
1,[0.00879255 0.99323636],[6.0402170e-05 9.9993956e-01]
1,[0.01789035 0.9869688 ],[2.4045548e-04 9.9975950e-01]
1,[0.01443115 0.9923414 ],[1.129931e-04 9.998870e-01]
1,[0.01660728 0.98508805],[2.5557575e-04 9.9974447e-01]
1,[0.02220476 0.97906715],[4.852934e-04 9.995147e-01]
1,[0.04496302 0.96318614],[0.0017962  0.99820375]
1,[0.018031   0.97298896],[5.094871e-04 9.994905e-01]
1,[0.01368581 0.96921366],[4.4055819e-04 9.9955946e-01]
1,[0.04256093 0.95075583],[0.00229714 0.9977029 ]
1,[0.01109737 0.9729968 ],[3.113407e-04 9.996886e-01]
1,[0.06177392 0.9356772 ],[0.00450584 0.9954941 ]
1,[0.0594952 0.9072142],[0.00642824 0.99357176]
1,[0.03977468 0.9577398 ],[0.00182442 0.9981756 ]
1,[0.06074869 0.9019074 ],[0.0069853 0.9930147]
1,[0.05339247 0.94402933],[0.003333   0.99666697]
1,[0.06091633 0.9497488 ],[0.00342042 0.9965796 ]
1,[0.0618678  0.98585343],[9.454317e-04 9.990546e-01]
1,[0.01131485 0.98852146],[1.3287191e-04 9.9986708e-01]
1,[0.05826232 0.8833192 ],[0.00810596 0.99189407]
1,[0.02543148 0.96764606],[8.717472e-04 9.991283e-01]
1,[0.15743291 0.9215101 ],[0.01566561 0.9843344 ]
1,[0.18882063 0.9088981 ],[0.02279966 0.9772003 ]
1,[0.07267538 0.9642628 ],[0.00289615 0.99710387]
1,[0.01463997 0.97448015],[3.8893922e-04 9.9961108e-01]
1,[0.0724177  0.93588763],[0.00531978 0.9946802 ]
1,[0.14664097 0.83645463],[0.03250629 0.9674937 ]
1,[0.06306365 0.8942423 ],[0.00789736 0.9921027 ]
1,[0.03796524 0.9558985 ],[0.00181738 0.99818265]
1,[0.04855957 0.9679423 ],[0.0016875 0.9983125]
1,[0.09614379 0.8935675 ],[0.01251125 0.9874887 ]
1,[0.05981101 0.9653788 ],[0.00227625 0.99772376]
1,[0.02598992 0.9497749 ],[0.00140906 0.9985909 ]
1,[0.08039138 0.91274506],[0.00828767 0.99171233]
1,[0.05288162 0.8972988 ],[0.00634997 0.99365   ]
1,[0.05224534 0.87922883],[0.00751513 0.99248487]
1,[0.05440896 0.87417865],[0.00821371 0.9917863 ]
1,[0.18538319 0.8809066 ],[0.02984798 0.9701521 ]
1,[0.03631471 0.94805634],[0.00206039 0.9979395 ]
1,[0.17013963 0.81879354],[0.04340386 0.9565962 ]
1,[0.02541506 0.9480605 ],[0.00142664 0.9985733 ]
1,[0.02439641 0.9674587 ],[8.4040745e-04 9.9915957e-01]
1,[0.00594264 0.99686795],[1.8782352e-05 9.9998116e-01]
1,[0.01959092 0.98133206],[3.7998252e-04 9.9961996e-01]
1,[0.01883536 0.97071576],[5.7879218e-04 9.9942124e-01]
1,[0.06254902 0.9423052 ],[0.00406862 0.99593145]
1,[0.01013884 0.97897136],[2.1996762e-04 9.9978000e-01]
1,[0.08249438 0.93261844],[0.00645418 0.99354583]
1,[0.18281811 0.77356   ],[0.06146264 0.9385373 ]
1,[0.01970753 0.97195303],[5.7978276e-04 9.9942029e-01]
1,[0.0068994  0.98499775],[1.0580180e-04 9.9989414e-01]
1,[0.07673571 0.92248905],[0.00693507 0.99306494]
1,[0.05367532 0.9311253 ],[0.004178   0.99582195]
1,[0.10186756 0.8707909 ],[0.0165511 0.9834489]
1,[0.03890251 0.96862674],[0.00130931 0.99869066]
1,[0.02712508 0.9701422 ],[8.5736293e-04 9.9914265e-01]
1,[0.11992903 0.8785584 ],[0.01848839 0.98151165]
1,[0.02988157 0.9738138 ],[8.2759367e-04 9.9917245e-01]
1,[0.03760172 0.97088844],[0.00117015 0.9988299 ]
1,[0.03117828 0.9658185 ],[0.00113765 0.9988624 ]
1,[0.03225508 0.9815911 ],[6.246887e-04 9.993753e-01]
1,[0.04586178 0.95700836],[0.00215462 0.9978454 ]
1,[0.01412553 0.9897822 ],[1.4788895e-04 9.9985206e-01]
1,[0.05168324 0.9759519 ],[0.00134112 0.9986589 ]
1,[0.0105781  0.99307925],[7.4501004e-05 9.9992549e-01]
1,[0.05482632 0.96918935],[0.00184064 0.99815935]
1,[0.08002719 0.9225763 ],[0.00724729 0.9927528 ]
1,[0.02009767 0.97917867],[4.3593216e-04 9.9956411e-01]
1,[0.04732814 0.94705224],[0.00276978 0.99723023]
1,[0.00815396 0.99304706],[5.7557383e-05 9.9994242e-01]
1,[0.03450494 0.96683604],[0.00122437 0.99877566]
1,[0.07069562 0.9385046 ],[0.00496 0.99504]
1,[0.13202116 0.9605874 ],[0.00620198 0.99379796]
1,[0.07223132 0.928033  ],[0.00600125 0.99399877]
1,[0.12161804 0.90602714],[0.0141574  0.98584265]
1,[0.0696521  0.94096416],[0.00467516 0.99532485]
1,[0.09264065 0.92223203],[0.0085361  0.99146384]
1,[0.08687648 0.9247845 ],[0.00767878 0.9923212 ]
1,[0.02083259 0.9648559 ],[7.7435427e-04 9.9922562e-01]
1,[0.06159632 0.9336768 ],[0.00464102 0.995359  ]
1,[0.08986512 0.8888313 ],[0.01219883 0.98780113]
1,[0.11891247 0.8565865 ],[0.0220965  0.97790354]
1,[0.03875126 0.911142  ],[0.00391613 0.99608386]
1,[0.08346355 0.9116435 ],[0.00874872 0.9912513 ]
1,[0.0299789  0.96370006],[0.00116277 0.9988373 ]
1,[0.02368515 0.9620913 ],[9.5497904e-04 9.9904495e-01]
1,[0.05859052 0.9578798 ],[0.00272924 0.99727076]
1,[0.07480835 0.9604109 ],[0.00332194 0.9966781 ]
1,[0.043919 0.928267],[0.00353725 0.99646276]
1,[0.02344063 0.93770546],[0.00159207 0.9984079 ]
1,[0.0522135  0.89143854],[0.00666427 0.9933357 ]
1,[0.04681568 0.9366651 ],[0.00331004 0.9966899 ]
1,[0.07333403 0.9474989 ],[0.00436588 0.99563414]
1,[0.14459682 0.8905647 ],[0.02034938 0.9796506 ]
1,[0.01790818 0.96716934],[6.1859755e-04 9.9938142e-01]
1,[0.07044584 0.94540364],[0.00435743 0.99564254]
1,[0.06209723 0.92923194],[0.00501699 0.99498296]
1,[0.10282139 0.88791376],[0.01426094 0.98573905]
1,[0.03684345 0.94567776],[0.00219253 0.99780744]
1,[0.05835164 0.94840497],[0.00335982 0.9966402 ]
1,[0.07455648 0.91230905],[0.00768419 0.99231577]
1,[0.04131467 0.9499769 ],[0.00226413 0.99773586]
1,[0.03859868 0.95111185],[0.00205942 0.9979406 ]
1,[0.03162668 0.9349071 ],[0.00226877 0.99773127]
1,[0.03850449 0.8907585 ],[0.00488724 0.9951127 ]
1,[0.12444682 0.9465302 ],[0.0079653  0.99203473]
1,[0.07200437 0.9612736 ],[0.00311614 0.9968838 ]
