,class,sigmoid_ouput
97,0,[0.99449944 0.01046634]
98,0,[0.9577416  0.04146327]
99,0,[0.99837106 0.00308802]
100,0,[0.9971848  0.00342015]
101,0,[0.9929476  0.00444305]
102,0,[0.985067   0.02042969]
103,0,[0.99709666 0.00621366]
104,0,[0.99441755 0.00465113]
105,0,[0.9804033 0.0239798]
106,1,[0.02321075 0.9669222 ]
107,1,[0.05175499 0.929173  ]
108,0,[0.96744263 0.04782585]
109,0,[0.9585596  0.03801069]
110,0,[0.9969056  0.00385732]
111,0,[0.98772556 0.01285889]
112,0,[0.9901946  0.00800275]
113,1,[0.01297763 0.9767749 ]
114,0,[0.99805117 0.00238817]
115,0,[0.9973788  0.00270004]
116,0,[0.9851425  0.02815989]
117,0,[0.95910835 0.05498439]
118,0,[0.89365983 0.12525752]
119,0,[0.99452436 0.00475282]
120,0,[0.9053235  0.04972816]
121,1,[0.05339195 0.9573208 ]
122,1,[0.05290443 0.96874565]
123,0,[0.99548703 0.004843  ]
124,0,[0.99640095 0.0039215 ]
125,0,[0.9477091  0.04205288]
126,1,[0.0361642  0.97108227]
127,0,[0.9978764  0.00178051]
128,1,[0.03915171 0.937455  ]
129,0,[0.99012166 0.0161596 ]
130,0,[0.98991853 0.00991808]
131,0,[0.9842276  0.02243291]
132,0,[0.97809714 0.02164272]
133,0,[0.96416473 0.02985518]
134,1,[0.10315528 0.9140802 ]
135,0,[0.97693026 0.02289466]
136,0,[0.9894549  0.00642183]
137,0,[0.8558125 0.1179641]
138,0,[0.979856   0.02141499]
139,0,[0.98181874 0.00933538]
140,0,[0.9893139  0.01096055]
141,0,[0.95182985 0.08353639]
142,0,[0.9934987  0.00498074]
143,1,[0.06732903 0.95240825]
144,0,[0.99873394 0.0016049 ]
145,0,[0.9078315  0.06118504]
146,0,[0.98110914 0.05479804]
147,0,[0.99792504 0.00150854]
148,1,[0.0410368 0.965384 ]
149,0,[0.9479136  0.05936736]
150,0,[0.9733612  0.04239477]
151,0,[0.9826015  0.01470247]
152,0,[0.9775015  0.03237459]
153,0,[0.97866195 0.02371042]
154,0,[0.98819876 0.00482332]
155,0,[0.9383056  0.04880417]
156,1,[0.01895308 0.97900736]
157,0,[0.9306823  0.03437112]
158,0,[0.9532237  0.05834208]
159,0,[0.93181515 0.08083522]
160,0,[0.86029273 0.10873247]
161,0,[0.9353545  0.05188566]
162,0,[0.9433674  0.13988146]
163,0,[0.9883337  0.01495906]
164,1,[0.07376225 0.96055174]
165,0,[0.97529614 0.07152852]
166,0,[0.99858    0.00187743]
167,0,[0.98669225 0.01569261]
168,0,[0.9907477  0.00796707]
169,0,[0.9698252  0.03591818]
170,0,[0.98829216 0.00649853]
171,0,[0.9119765  0.05631152]
172,0,[0.99766064 0.00274411]
173,0,[0.968291   0.06276148]
174,1,[0.03580548 0.9627523 ]
175,0,[0.99744403 0.00591655]
176,0,[0.8390097  0.23857076]
177,0,[0.9942677 0.0035955]
178,0,[0.35461476 0.6129842 ]
179,1,[0.0958729 0.9563194]
180,0,[0.98563    0.03452666]
181,0,[0.87238634 0.1468456 ]
182,0,[0.9798135  0.03704365]
183,0,[0.9939063  0.00369737]
184,0,[0.99508035 0.00453532]
185,0,[0.9181529  0.06663287]
186,0,[0.98014784 0.01670955]
187,0,[0.9841934  0.01480935]
188,1,[0.14066172 0.90665656]
189,1,[0.05588531 0.9359481 ]
190,0,[0.9932033  0.00959778]
191,1,[0.02571231 0.9775454 ]
192,1,[0.06775717 0.89578295]
193,0,[0.9853795  0.01457178]
194,0,[0.98771054 0.01230734]
195,0,[0.9897481  0.00825071]
196,0,[0.9888575  0.00866517]
197,0,[0.99760985 0.0018204 ]
198,0,[0.9887166  0.00829896]
199,0,[0.9803756  0.01404783]
200,0,[0.97395045 0.01550061]
201,0,[0.9931924 0.0088383]
202,0,[0.9685062  0.02993613]
203,0,[0.95988494 0.03371765]
204,0,[0.93082595 0.04756865]
205,0,[0.97016925 0.04114164]
206,0,[0.9841965  0.02316736]
207,0,[0.9348553  0.04160272]
208,0,[0.99596184 0.00342466]
209,0,[0.99200505 0.00702843]
210,0,[0.99009156 0.01081047]
211,0,[0.98921037 0.01331032]
212,1,[0.04550982 0.9603637 ]
213,1,[0.01974838 0.9739864 ]
214,1,[0.02401507 0.98341745]
215,0,[0.9659357  0.03305297]
216,0,[0.9914978  0.01980193]
217,0,[0.97969455 0.01492164]
218,0,[0.9546893  0.06462169]
219,0,[0.98702943 0.01198486]
220,1,[0.08057827 0.9645881 ]
221,0,[0.99833727 0.00286767]
222,0,[0.989493   0.01139819]
223,0,[0.9428259  0.09888709]
224,0,[0.978784   0.01428059]
225,1,[0.02715376 0.97095484]
226,0,[0.98658216 0.03009509]
227,0,[0.9716     0.04014001]
228,1,[0.02778479 0.96658784]
229,0,[0.9826962  0.03192198]
230,0,[0.9916686  0.00611992]
231,0,[0.98142874 0.01517119]
232,0,[0.8289479  0.16651036]
233,0,[0.897627   0.14338079]
234,0,[0.9594032  0.04354141]
235,0,[0.9677187  0.03355245]
236,0,[0.98766464 0.01539107]
237,0,[0.9615716  0.04177448]
238,0,[0.974566   0.05093403]
239,0,[0.9050327  0.07354429]
240,0,[0.9021821  0.07059715]
241,0,[0.9310684  0.12278634]
242,0,[0.990593   0.00980917]
243,0,[0.98992425 0.01037852]
244,0,[0.9825643 0.0260518]
245,0,[0.996356   0.00837265]
246,0,[0.99459356 0.00649576]
247,0,[0.98911816 0.01290084]
248,0,[0.91956234 0.04537533]
249,0,[0.98560345 0.02032937]
250,0,[0.987079   0.00895235]
251,1,[0.1553887  0.92254525]
252,0,[0.98199964 0.02450362]
253,0,[0.9693229  0.03558058]
254,0,[0.91233623 0.12666334]
255,0,[0.98409456 0.01740158]
256,0,[0.9975249  0.00544152]
257,0,[0.98407954 0.03542048]
258,0,[0.9768777  0.02707157]
259,0,[0.9785533  0.02523708]
260,0,[0.990444   0.01005328]
261,0,[0.947614   0.06302999]
262,0,[0.89645314 0.05731789]
263,0,[0.9191143  0.05010285]
264,0,[0.9924172  0.00903399]
265,0,[0.98689157 0.01685863]
266,0,[0.9668852  0.02638783]
267,0,[0.9873771  0.01547299]
268,1,[0.01077212 0.9935055 ]
269,0,[0.9698517  0.02087353]
270,0,[0.96630293 0.05868934]
271,0,[0.99280304 0.01163051]
272,0,[0.96376115 0.02674951]
273,0,[0.9887417 0.0121496]
274,0,[0.99519926 0.00503221]
275,0,[0.9925977  0.00850787]
276,0,[0.95525944 0.05457569]
277,0,[0.9858257  0.00841971]
278,0,[0.8338918  0.22765322]
279,0,[0.9975293  0.00338744]
280,0,[0.987723  0.0142059]
281,1,[0.08928449 0.90769255]
282,0,[0.9684493  0.03668585]
283,0,[0.9696619  0.06803321]
284,1,[0.08491343 0.93872917]
285,0,[0.88339114 0.14904372]
286,0,[0.9833429  0.03427049]
287,0,[0.9602465  0.03911841]
288,0,[0.9881693  0.01639422]
289,0,[0.99724436 0.00254838]
290,0,[0.9947068  0.00637472]
291,0,[0.9738753  0.02696922]
292,0,[0.9974848  0.00299547]
293,0,[0.9896645  0.01627849]
294,0,[0.9943145  0.00557752]
295,0,[0.9868574  0.00815711]
296,0,[0.99077773 0.01669506]
297,0,[0.9974126  0.00572969]
298,0,[0.99314827 0.00519557]
299,1,[0.15951192 0.8847491 ]
300,0,[0.9284468  0.04160716]
301,0,[0.9516273  0.03537393]
302,0,[0.96579516 0.04283883]
303,0,[0.9759995 0.046738 ]
304,0,[0.9783845  0.01641986]
305,1,[0.05700774 0.9565647 ]
306,0,[0.9812377  0.03761315]
307,0,[0.9925088  0.00717062]
308,0,[0.9964977  0.00293427]
309,0,[0.9841732 0.0209534]
310,0,[0.63841206 0.20627578]
311,0,[0.99402064 0.00625925]
312,0,[0.928689   0.06500864]
313,0,[0.9888898  0.01071769]
314,1,[0.03296581 0.9621574 ]
315,1,[0.02367537 0.9713235 ]
316,0,[0.9929426  0.00527511]
317,0,[0.9002005  0.24763067]
318,0,[0.91263425 0.06025404]
319,0,[0.9966601  0.00584457]
320,0,[0.97520816 0.02901642]
321,1,[0.0433512 0.9666508]
322,0,[0.9940749  0.01487599]
323,0,[0.99029726 0.01060129]
324,0,[0.9649863  0.01942054]
325,0,[0.9908309  0.01324326]
326,0,[0.9784238  0.02298865]
327,0,[0.9943182  0.00616489]
328,0,[0.98560405 0.01381362]
329,0,[0.9827167  0.02036132]
330,0,[0.91161615 0.08027674]
331,1,[0.1077992 0.8554199]
332,0,[0.9564452  0.07602201]
333,0,[0.979006   0.02038437]
334,0,[0.9919512  0.01316953]
335,0,[0.86600006 0.06034591]
336,0,[0.9806615  0.04845408]
337,0,[0.8572851  0.17161421]
338,1,[0.0149104 0.9822687]
339,0,[0.98381007 0.0112015 ]
340,0,[0.99535465 0.0069944 ]
341,1,[0.07057248 0.9489993 ]
342,0,[0.89326465 0.02541296]
343,0,[0.9848776  0.01060743]
344,0,[0.9661598  0.03524733]
345,0,[0.88832146 0.12383194]
346,0,[0.96472996 0.06460109]
347,0,[0.99106115 0.01046387]
348,0,[0.97434866 0.0379986 ]
349,0,[0.95534825 0.05493926]
350,0,[0.9695598  0.01330839]
351,0,[0.98971295 0.01178081]
352,0,[0.9375298  0.04414897]
353,0,[0.978442   0.02750973]
354,0,[0.97928476 0.01154282]
355,0,[0.98429894 0.01638057]
356,0,[0.99243903 0.00717876]
357,0,[0.9914486  0.01182131]
358,0,[0.9721224  0.04369918]
359,0,[0.99602675 0.00332345]
360,0,[0.9920393  0.01113747]
361,0,[0.9777076  0.01527377]
362,0,[0.9988136  0.00280433]
363,0,[0.9559234  0.07203098]
364,0,[0.9872082  0.01221761]
365,1,[0.08595105 0.94114816]
366,0,[0.9788871  0.01596236]
367,0,[0.9764534  0.01964768]
368,0,[0.99572796 0.00448836]
369,0,[0.9593123  0.04749799]
370,0,[9.9963844e-01 7.5051922e-04]
371,0,[0.9883499 0.009931 ]
372,0,[0.94907165 0.04587526]
373,0,[0.97389734 0.02129849]
374,0,[0.9735839  0.03892223]
375,0,[0.9789508  0.01111127]
376,0,[0.9899048 0.0194643]
377,0,[0.99292505 0.00638427]
378,0,[0.9960044  0.00597158]
379,0,[0.9661432  0.08103488]
380,0,[0.98930013 0.01277312]
381,0,[0.99414426 0.00588694]
382,0,[0.98136854 0.01994565]
383,0,[0.95973665 0.02740102]
384,0,[0.9772859  0.02664905]
385,0,[0.98070014 0.03132231]
386,0,[0.98310447 0.04347613]
387,0,[0.9955232  0.00361772]
388,0,[0.9281256 0.0816284]
389,0,[0.9960849 0.0029196]
390,0,[0.9921394  0.01668825]
391,0,[0.9495724  0.03851417]
392,0,[0.98868525 0.01526002]
393,0,[0.9900034  0.02445764]
394,0,[0.9302879  0.13034987]
395,0,[0.96036    0.09762003]
396,0,[0.976699  0.0108948]
397,1,[0.05535575 0.9523395 ]
398,0,[0.98339176 0.01299001]
399,0,[0.9828221  0.06657996]
400,0,[0.77734566 0.22449684]
401,0,[0.99683195 0.0080432 ]
402,0,[0.99243283 0.00512359]
403,0,[0.9969619  0.00264436]
404,0,[0.9835565  0.02047684]
405,0,[0.9553148  0.02482248]
406,0,[0.980584   0.03230935]
407,0,[0.9887362  0.00527359]
408,0,[0.98554176 0.00961831]
409,0,[0.989963   0.01044083]
410,0,[0.9958651  0.00320006]
411,0,[0.91190714 0.07521047]
412,0,[0.9785952  0.01674776]
413,1,[0.05985738 0.9619972 ]
414,0,[0.9980173  0.00379263]
415,0,[0.94927627 0.03648618]
416,1,[0.18216312 0.80044687]
417,1,[0.09532133 0.8346847 ]
418,0,[0.99224937 0.00750543]
419,0,[0.9898968  0.00951895]
420,0,[0.88976234 0.09812594]
421,1,[0.01871389 0.97300446]
422,0,[0.9798805  0.02244501]
423,1,[0.02500414 0.97841656]
424,0,[0.9925034  0.00966854]
425,0,[0.9778455  0.01619794]
426,1,[0.02430522 0.9733174 ]
427,0,[0.9199641  0.08208448]
428,0,[0.93204314 0.04392675]
429,0,[0.8221472  0.15603536]
430,0,[0.99841106 0.00138805]
431,0,[0.9547013  0.03767838]
432,0,[0.996915   0.00163248]
433,0,[0.9883305  0.01573741]
434,0,[0.99090475 0.00684054]
435,0,[0.9293677  0.10554796]
436,0,[0.97421443 0.02283782]
437,0,[0.99138707 0.0139558 ]
438,0,[0.8549122  0.08367328]
439,0,[0.9310284  0.03905213]
440,1,[0.04887046 0.9715318 ]
441,0,[0.96985334 0.03976382]
442,0,[0.9828318  0.02866482]
443,0,[0.9882593  0.01312046]
444,0,[0.9564932  0.03120552]
445,1,[0.05163409 0.9564398 ]
446,0,[0.931329   0.08799481]
447,0,[0.9904626  0.01638627]
448,0,[0.93256825 0.07711169]
449,0,[0.9421752  0.04047873]
450,0,[0.94511026 0.09241027]
451,0,[0.99736077 0.00200262]
452,0,[0.9930941  0.01008721]
453,0,[0.94946736 0.05298581]
454,0,[0.9797474  0.01487975]
455,0,[0.7897666  0.13758391]
456,0,[0.9656335  0.05786019]
457,1,[0.03150432 0.9471212 ]
458,0,[0.9820593  0.01602527]
459,0,[0.9837114  0.01305098]
460,0,[0.9988883  0.00441127]
461,0,[0.9759769  0.03188077]
462,0,[0.9937889  0.00982839]
463,0,[0.99373686 0.0105765 ]
464,0,[0.9826613  0.03075824]
465,0,[0.995501   0.01054227]
466,0,[0.92942065 0.05834546]
467,0,[0.9929367 0.0136689]
468,0,[0.9822863  0.01772192]
469,0,[0.962173   0.05210201]
470,0,[0.9968393  0.00182565]
471,0,[0.99818724 0.00240168]
472,0,[0.9949699  0.00790584]
473,1,[0.04793229 0.93003684]
474,0,[0.9813395  0.01722779]
475,0,[0.9921767  0.00569638]
476,0,[0.9655924  0.01934237]
477,0,[0.98592675 0.01656288]
478,0,[0.989824   0.01355757]
479,0,[0.8602659  0.11178989]
480,0,[0.9547277  0.06882714]
481,0,[0.9830709  0.01358092]
482,0,[0.98683435 0.03322385]
483,1,[0.01128516 0.9694057 ]
484,0,[0.95807284 0.09038238]
485,0,[0.9438648  0.02601169]
486,0,[0.960073   0.10484077]
487,0,[0.96067554 0.03201046]
488,0,[0.9954684  0.00360874]
489,0,[0.92217964 0.05790067]
490,0,[0.9312126  0.05756483]
491,0,[0.49747413 0.30793935]
492,0,[0.924843   0.13938056]
493,1,[0.04207846 0.96266764]
494,0,[0.99728036 0.00207111]
495,0,[0.9952815  0.00602804]
496,0,[0.983557   0.01528178]
497,0,[0.9981534  0.00284533]
498,0,[0.9100522  0.07102415]
499,0,[0.985338   0.02601139]
500,0,[0.9596585  0.01794787]
501,1,[0.08585665 0.9132918 ]
502,0,[0.9921044  0.00702295]
503,0,[0.99245024 0.02341335]
504,0,[0.93885046 0.07239725]
505,0,[0.9935907  0.00589294]
506,0,[0.9641627  0.06319787]
507,0,[0.9889177 0.0172906]
508,0,[0.95951295 0.08129156]
509,0,[0.9712091  0.03357587]
510,0,[0.98270386 0.00731947]
511,0,[0.9919634  0.02012988]
512,1,[0.09252754 0.92678374]
513,0,[0.9903262  0.02256768]
514,0,[0.9720925  0.01602887]
515,0,[0.9796078  0.02433594]
516,0,[0.9742076  0.02151577]
517,0,[0.99686193 0.01456052]
518,0,[0.94568413 0.04557167]
519,0,[0.9836007  0.01261361]
520,0,[0.8575406  0.08274089]
521,0,[0.983799   0.01217313]
522,0,[0.99502385 0.00833992]
523,0,[0.8501951  0.12464722]
524,0,[0.9959282  0.00306243]
525,1,[0.06230545 0.95690936]
526,1,[0.1200326  0.87590045]
527,0,[0.9558473  0.08670328]
528,0,[0.98473734 0.01830804]
529,0,[0.98668087 0.01299814]
530,0,[0.99226564 0.00982935]
531,0,[0.92502636 0.10692271]
532,0,[0.9774064  0.02703279]
533,0,[0.9762048  0.02699888]
534,0,[0.98957866 0.0083219 ]
535,0,[0.95937794 0.04356134]
536,0,[0.9923988  0.01192987]
537,1,[0.03544012 0.9762561 ]
538,0,[0.9954201  0.00425795]
539,0,[0.77164173 0.22168963]
540,0,[0.96428096 0.03537707]
541,0,[0.9558752  0.05531358]
542,0,[0.9980792  0.00401687]
543,0,[0.9825531  0.01638899]
544,0,[0.927863   0.06977529]
545,0,[0.98408234 0.01331804]
546,0,[0.9554835  0.05387457]
547,0,[0.87380207 0.10971116]
548,0,[0.9823913 0.0249601]
549,0,[0.97461617 0.02000961]
550,0,[0.99145377 0.00824309]
551,0,[0.98779416 0.01557829]
552,0,[0.9894349  0.01304548]
553,0,[0.95840394 0.0271369 ]
554,0,[0.9652323  0.02064259]
555,0,[0.9817297  0.05679451]
556,0,[0.8683781  0.12914355]
557,0,[0.9990195  0.00169835]
558,0,[0.7809434  0.19231746]
559,0,[0.8853732  0.08014465]
560,0,[0.9853613  0.04343862]
561,0,[0.9930773  0.00941859]
562,0,[0.97636276 0.0265938 ]
563,0,[0.9964587  0.00534249]
564,0,[0.96517897 0.03028096]
565,0,[0.98983604 0.00826185]
566,1,[0.04216832 0.95639485]
567,0,[0.99216604 0.0060073 ]
568,0,[0.991305  0.0169068]
569,0,[0.9734533  0.04656591]
570,0,[0.99605715 0.00542144]
571,0,[0.97978514 0.02046743]
572,0,[0.9938309  0.00669777]
573,0,[0.9851563  0.01558843]
574,1,[0.06571221 0.93885714]
575,0,[0.99393904 0.00646287]
576,0,[0.98707855 0.008335  ]
577,1,[0.03177379 0.97220165]
578,1,[0.06698775 0.9324165 ]
579,0,[0.9903722  0.00817003]
580,0,[0.9965155  0.00748488]
581,0,[0.9745637  0.01903982]
582,0,[0.97645676 0.04710617]
583,0,[0.9972146  0.00242141]
584,0,[0.9643158  0.05006714]
585,0,[0.92720467 0.05945377]
586,0,[0.9835067  0.01733137]
587,1,[0.08490083 0.96635926]
588,0,[0.9804664  0.02005143]
589,0,[0.96433043 0.01991173]
590,0,[0.994472   0.00638606]
591,0,[0.9728866  0.02594806]
592,0,[0.989461  0.0168822]
593,1,[0.00875185 0.99093515]
594,0,[0.98857427 0.00949696]
595,0,[0.9902559  0.00829536]
596,1,[0.11020112 0.9463446 ]
597,1,[0.02937838 0.97296697]
598,0,[0.98611104 0.01885455]
599,0,[0.98269963 0.01927356]
600,0,[0.95895624 0.03396456]
601,0,[0.9908001  0.00723691]
602,0,[0.9504428  0.03328765]
603,0,[0.9898812 0.0163426]
604,1,[0.07251517 0.9367238 ]
605,0,[0.9958021  0.00740292]
606,0,[0.9851976  0.02007183]
607,0,[0.98346347 0.01221629]
608,0,[0.96596897 0.02071915]
609,0,[0.94788426 0.05040555]
610,0,[0.97386104 0.03611428]
611,0,[0.9785972  0.02008931]
612,0,[0.9888877  0.00669578]
613,0,[0.81166065 0.2117005 ]
614,0,[0.9836843  0.01241833]
615,0,[0.9917462  0.00950516]
616,0,[0.997993   0.00403354]
617,0,[0.99281865 0.00740365]
618,0,[0.99037814 0.0069295 ]
619,0,[0.99203426 0.01083414]
620,0,[0.957311   0.03692442]
621,0,[0.9894037  0.00914128]
622,0,[0.9181202  0.04747919]
623,0,[0.9445421  0.11166411]
624,0,[0.99011505 0.00970346]
625,0,[0.9879479  0.00934815]
626,0,[0.9789185  0.02503814]
627,0,[0.96729136 0.02639101]
628,0,[0.9868152  0.02003562]
629,0,[0.94448173 0.0211609 ]
630,0,[0.8876969  0.11072774]
631,0,[0.9700173  0.05497934]
632,0,[0.9737985  0.03758736]
633,0,[0.9965726  0.00574987]
634,0,[0.99402714 0.00772111]
635,0,[0.96317255 0.03030186]
636,0,[0.9314383  0.08970489]
637,0,[0.84768933 0.1688164 ]
638,0,[0.9982735  0.00587763]
639,0,[0.9983365  0.00158524]
640,0,[0.995006   0.00731662]
641,0,[0.9867006  0.01986693]
642,0,[0.98801416 0.00973787]
643,1,[0.022375   0.99166006]
644,0,[0.9948731  0.00381329]
645,0,[0.9731112  0.03232938]
646,0,[0.99428856 0.00738487]
647,1,[0.06306643 0.94076115]
648,0,[0.7979291  0.28495067]
649,0,[0.9790162  0.02674349]
650,0,[0.9475306  0.05406421]
651,0,[0.89799774 0.12435638]
652,0,[0.9987576  0.00135958]
653,0,[0.9859882  0.01337285]
654,0,[0.9913325  0.01218265]
655,0,[0.9704011  0.02617536]
656,0,[0.39275956 0.43302605]
657,1,[0.09343749 0.96638405]
658,1,[0.07112641 0.9319691 ]
659,1,[0.00622905 0.9931191 ]
660,0,[0.908881   0.06836084]
661,0,[0.9697196  0.02502027]
662,0,[0.9615925  0.02999132]
663,0,[0.98153424 0.01328821]
664,0,[0.9917184  0.01161442]
665,0,[0.9722344  0.04015026]
666,0,[0.9963775  0.00376563]
667,1,[0.03466061 0.9731674 ]
668,0,[0.9694196  0.03221798]
669,0,[0.8436685  0.18116918]
670,0,[0.9855838  0.02043124]
671,1,[0.06325538 0.96143764]
672,0,[0.96030885 0.06999446]
673,0,[0.9761668  0.02641076]
674,0,[0.8961852  0.14435796]
675,1,[0.08469061 0.93108577]
676,0,[0.9634185  0.01559615]
677,0,[0.992539   0.01249746]
678,0,[0.9981166  0.00302974]
679,0,[0.99034786 0.00655474]
680,0,[0.9679818  0.02943827]
681,0,[0.9912674  0.01925807]
682,0,[0.99551827 0.00445268]
683,0,[0.9973876  0.00439424]
684,0,[0.995548   0.00734458]
685,1,[0.09276291 0.9222054 ]
686,1,[0.07378965 0.9402723 ]
687,0,[0.98662657 0.01556771]
688,0,[0.98843634 0.01249619]
689,0,[0.9569186 0.0488505]
690,0,[0.94861585 0.02889954]
691,0,[0.9737376  0.03878042]
692,0,[0.9902277  0.01390721]
693,0,[0.9957212  0.00370329]
694,0,[0.9889165  0.01416451]
695,0,[0.8689332 0.1825809]
696,0,[0.96043223 0.0301395 ]
697,0,[0.98671806 0.02884556]
698,0,[0.9286711  0.12989974]
699,0,[0.986201   0.01833932]
700,1,[0.03431785 0.9630237 ]
701,0,[0.96315897 0.03386572]
702,0,[0.9933037  0.00285227]
703,0,[0.9619499  0.07913579]
704,1,[0.11817266 0.88559926]
705,0,[0.98838425 0.0129207 ]
706,0,[0.99798113 0.00205757]
707,0,[0.99422616 0.00393089]
708,0,[0.9930729 0.008312 ]
709,0,[0.9633136  0.02882798]
710,0,[0.9759044  0.03737293]
711,1,[0.03655263 0.96873796]
712,0,[0.9803027  0.02601696]
713,0,[0.994562   0.00687569]
714,0,[0.9943199  0.00806208]
715,0,[0.97907674 0.02934597]
716,0,[0.9828016  0.01353892]
717,0,[0.8820749  0.24157459]
718,0,[0.99573237 0.00541605]
719,0,[0.99327314 0.00655034]
720,1,[0.01362471 0.9759405 ]
721,0,[0.9933606  0.00586083]
722,0,[0.9427215  0.06191999]
723,1,[0.00838414 0.9932956 ]
724,0,[0.9828083  0.01614805]
725,0,[0.9497543  0.03390987]
726,0,[0.94247615 0.04408539]
727,0,[0.98773414 0.01376097]
728,0,[0.9305139 0.041746 ]
729,0,[0.96819043 0.07836574]
730,0,[0.95648503 0.06886359]
731,1,[0.030391   0.97621286]
732,0,[0.96861064 0.02839326]
733,0,[0.9833649  0.02038204]
734,0,[0.9628209  0.01305552]
735,0,[0.9827124  0.02124434]
736,0,[0.99279636 0.00834347]
737,0,[0.83779824 0.13924815]
738,0,[0.963227  0.0330203]
739,1,[0.05744576 0.9105852 ]
740,0,[0.91713387 0.0611214 ]
741,0,[0.9822436  0.01486725]
742,0,[0.96613365 0.02346702]
743,0,[0.9944301 0.0046699]
744,0,[0.9966635  0.00231897]
745,0,[0.9763125  0.01558487]
746,0,[0.93782276 0.06505635]
747,0,[0.8816778  0.15628947]
748,0,[0.93753904 0.1077026 ]
749,0,[0.9415551  0.04728797]
750,1,[0.02458707 0.9832087 ]
751,0,[0.9173099  0.06486203]
752,0,[0.9835735  0.05973424]
753,0,[0.99044657 0.00964723]
754,0,[0.98636127 0.01170733]
755,0,[0.98196054 0.02343204]
756,0,[0.97985876 0.02978466]
757,0,[0.9692648  0.02452898]
758,0,[0.9864245  0.02457993]
759,0,[0.9886585  0.02030179]
760,0,[0.93896866 0.03705489]
761,0,[0.99719894 0.00401262]
762,1,[0.00488048 0.99547666]
763,0,[0.9277621  0.05858687]
764,0,[0.98510945 0.02197422]
765,0,[0.8355748  0.17086719]
766,0,[0.98243654 0.01868707]
767,0,[0.99681634 0.00459577]
768,0,[0.9960913  0.02050724]
769,0,[0.991434   0.00906768]
